order_id,user_id,order_date,product_id,product_category,product_name,quantity,price_per_unit,payment_method,order_status
1001,U188,2025-04-20,P940,Fashion,Sneakers,2,58.53,PayPal,Cancelled
1002,U062,2025-04-16,P794,Fashion,T-Shirt,3,83.76,UPI,Returned
1003,U058,2025-04-18,P326,Fashion,Sunglasses,2,78.85,PayPal,Processing
1004,U011,2025-04-10,P574,Fashion,Sunglasses,5,46.49,PayPal,Delivered
1005,U003,2025-04-19,P988,Home Decor,Photo Frame,2,78.61,PayPal,Returned
1006,U017,2025-04-15,P328,Kitchen,Knife Set,4,53.51,Credit Card,Returned
1007,U129,2025-04-23,P786,Home Decor,Wall Clock,5,12.71,Credit Card,Returned
1008,U102,2025-04-15,P101,Home Decor,Photo Frame,1,46.6,Debit Card,Cancelled
1009,U040,2025-04-04,P610,Kitchen,Toaster,4,35.87,Credit Card,Processing
1010,U186,2025-04-29,P354,Kitchen,Microwave,1,30.95,Credit Card,Processing
1011,U168,2025-05-02,P706,Electronics,USB-C Cable,4,18.79,PayPal,Processing
1012,U148,2025-04-24,P315,Fashion,Sunglasses,5,69.14,Credit Card,Processing
1013,U140,2025-05-03,P516,Fashion,Sneakers,5,90.64,Credit Card,Cancelled
1014,U112,2025-04-18,P111,Books,Data Engineering 101,1,93.91,Credit Card,Cancelled
1015,U184,2025-04-11,P930,Fashion,Sunglasses,1,61.0,UPI,Cancelled
1016,U025,2025-04-24,P713,Electronics,Smartwatch,2,54.77,UPI,Returned
1017,U021,2025-04-26,P728,Books,Big Data Explained,5,13.42,PayPal,Delivered
1018,U067,2025-04-15,P650,Electronics,Wireless Mouse,2,18.72,Debit Card,Processing
1019,U115,2025-05-03,P973,Kitchen,Blender,3,35.68,Debit Card,Delivered
1020,U159,2025-04-16,P859,Kitchen,Blender,4,56.08,UPI,Processing
1021,U051,2025-04-30,P416,Electronics,Power Bank,2,12.65,UPI,Processing
1022,U027,2025-04-28,P269,Books,AI Revolution,5,24.58,UPI,Delivered
1023,U066,2025-04-28,P312,Kitchen,Cutting Board,4,78.8,PayPal,Delivered
1024,U001,2025-04-09,P960,Books,Spark for Dummies,3,56.91,PayPal,Returned
1025,U042,2025-04-23,P311,Kitchen,Cutting Board,4,16.8,Debit Card,Returned
1026,U198,2025-04-05,P793,Fashion,Sneakers,4,77.54,Credit Card,Processing
1027,U002,2025-04-21,P756,Electronics,Smartwatch,4,29.27,UPI,Cancelled
1028,U063,2025-04-22,P347,Fashion,T-Shirt,5,42.37,PayPal,Cancelled
1029,U134,2025-04-21,P329,Electronics,Smartwatch,1,40.0,PayPal,Cancelled
1030,U040,2025-04-23,P106,Electronics,Smartwatch,4,29.31,PayPal,Returned
1031,U178,2025-04-04,P887,Electronics,Wireless Mouse,1,80.17,PayPal,Processing
1032,U090,2025-04-11,P895,Kitchen,Cutting Board,2,29.79,Credit Card,Cancelled
1033,U160,2025-04-07,P518,Kitchen,Microwave,4,34.77,Credit Card,Processing
1034,U016,2025-04-23,P948,Home Decor,Wall Clock,3,54.5,UPI,Returned
1035,U150,2025-04-10,P242,Home Decor,Cushion Cover,2,34.04,Credit Card,Cancelled
1036,U171,2025-05-02,P585,Home Decor,Cushion Cover,2,17.22,Credit Card,Processing
1037,U144,2025-04-24,P840,Kitchen,Cutting Board,5,16.59,PayPal,Returned
1038,U093,2025-04-25,P324,Books,Spark for Dummies,2,53.03,PayPal,Returned
1039,U020,2025-04-19,P834,Fashion,Sneakers,4,60.17,UPI,Returned
1040,U172,2025-04-08,P644,Home Decor,Wall Art,2,97.17,Debit Card,Processing
1041,U080,2025-04-23,P171,Kitchen,Toaster,1,81.25,Credit Card,Returned
1042,U144,2025-04-14,P191,Kitchen,Microwave,1,58.35,Credit Card,Cancelled
1043,U061,2025-04-17,P371,Books,Big Data Explained,1,27.32,UPI,Returned
1044,U146,2025-04-27,P553,Fashion,Jacket,1,95.74,Debit Card,Returned
1045,U089,2025-04-05,P704,Fashion,Jeans,4,23.51,UPI,Cancelled
1046,U016,2025-04-16,P750,Kitchen,Cutting Board,5,83.03,UPI,Returned
1047,U035,2025-04-16,P862,Books,Spark for Dummies,2,40.27,Credit Card,Returned
1048,U043,2025-04-17,P807,Books,Big Data Explained,2,24.86,Credit Card,Returned
1049,U135,2025-04-22,P130,Books,Spark for Dummies,3,46.3,Credit Card,Processing
